Net_Name,Net_Pins
DDR4_A17,R157.1 U1.AP35 U9.N7 U10.N7 U11.N7 U12.N7 U13.N7 U34.N7 U35.N7 U36.N7 U37.N7
DDR4_ACT_N,R198.1 U1.AR32 U9.H3 U10.H3 U11.H3 U12.H3 U13.H3 U34.H3 U35.H3 U36.H3 U37.H3
DDR4_ALERT_N,R10.2 R12.2 TP11236.1 U9.L9 U10.L9 U11.L9 U12.L9 U13.L9 U34.L9 U35.L9 U36.L9 U37.L9
DDR4_ALERT_N_R,C230.1 R10.1 TP11792.1 U1.AP36
DDR4_BA0,R171.1 U1.AU32 U9.K2 U10.K2 U11.K2 U12.K2 U13.K2 U34.K2 U35.K2 U36.K2 U37.K2
DDR4_BA1,R174.1 U1.AU35 U9.K8 U10.K8 U11.K8 U12.K8 U13.K8 U34.K8 U35.K8 U36.K8 U37.K8
DDR4_BG0,R183.1 U1.AU31 U9.J2 U10.J2 U11.J2 U12.J2 U13.J2 U34.J2 U35.J2 U36.J2 U37.J2
DDR4_BG1,R200.1 U1.AU33 U9.J8 U10.J8 U11.J8 U12.J8 U13.J8 U34.J8 U35.J8 U36.J8 U37.J8
DDR4_CB0,U1.AU22 U11.C2
DDR4_CB1,U1.AV25 U11.B7
DDR4_CB2,U1.AV22 U11.D3
DDR4_CB3,U1.AU25 U11.D7
DDR4_CB4,U1.AU21 U11.D2
DDR4_CB5,U1.AV26 U11.D8
DDR4_CB6,U1.AV21 U11.E3
DDR4_CB7,U1.AU26 U11.E7
DDR4_CK0_N,C278.1 R219.1 U1.AR27 U9.F8 U10.F8 U11.F8 U12.F8 U13.F8
DDR4_CK0_P,C278.2 R218.1 U1.AR26 U9.F7 U10.F7 U11.F7 U12.F7 U13.F7
DDR4_CK0_TERM,C220.1 R218.2 R219.2
DDR4_CK1_N,C279.1 R216.1 U1.AP27 U34.F8 U35.F8 U36.F8 U37.F8
DDR4_CK1_P,C279.2 R217.1 U1.AP26 U34.F7 U35.F7 U36.F7 U37.F7
DDR4_CK1_TERM,C219.1 R216.2 R217.2
