column_one,column_two
GND,C517.2
3.3V,C518.1
GND,C518.2
3.3V,C519.1
GND,C519.2
1.2V_DDR,C52.1
GND,C52.2
3.3V,C520.1
GND,C520.2
1.8V,C521.1
GND,C521.2
1.8V,C522.1
GND,C522.2
S_3.3V_SS,C523.1
GND_ANALOG_3.3V,C523.2
AG_1.2V_DDR_BST_R,C524.1
AG_1.2V_DDR_PH,C524.2
1.2V,C525.1
GND,C525.2
1.2V,C526.1
GND,C526.2
VCORE,C527.1
GND,C527.2
VDDCPA,C528.1
VSSCPA,C528.2
VCORE,C529.1
GND,C529.2
1.2V_DDR,C53.1
GND,C53.2
VCORE,C530.1
GND,C530.2
VCORE,C531.1
GND,C531.2
1.8V,C532.1
GND,C532.2
1.8V,C533.1
GND,C533.2
1.8V,C534.1
GND,C534.2
1.8V,C535.1
GND,C535.2
1.8V_VDDPLLPX,C536.1
GND_VSSPLLPX,C536.2
VCORE,C537.1
GND,C537.2
VCORE,C538.1
GND,C538.2
VCORE,C539.1
GND,C539.2
SE_CLK_GEN_GMII_XI,C54.1
GND,C54.2
VCORE,C540.1
GND,C540.2
VCORE,C541.1
GND,C541.2
VCORE,C542.1
GND,C542.2
1.8V,C543.1
GND,C543.2
1.8V,C544.1
GND,C544.2
1.8V_VDDPLLPL,C545.1
GND_VSSPLLPL,C545.2
VCORE,C546.1
GND,C546.2
VCORE,C547.1
GND,C547.2
3V_RTC_VBAT,C548.1
GND,C548.2
VDD_SENSE_SH,C549.1
VSS_SENSE,C549.2
3.3V,C55.1
GND,C55.2
1.2V,C550.1
GND,C550.2
VCORE,C551.1
GND,C551.2
VCORE,C552.1
GND,C552.2
VCORE,C553.1
GND,C553.2
VCORE,C554.1
GND,C554.2
VCORE,C555.1
GND,C555.2
1.2V,C556.1
GND,C556.2
1.2V,C557.1
GND,C557.2
1.2V,C558.1
GND,C558.2
1.2V,C559.1
GND,C559.2
1.2V_AVDDL_PLL,C56.1
GND,C56.2
1.2V,C560.1
GND,C560.2
1.2V,C561.1
GND,C561.2
3.3V,C562.1
GND,C562.2
3.3V,C563.1
GND,C563.2
1.2V,C564.1
GND,C564.2
1.2V,C565.1
GND,C565.2
3.3V_VCC1_P0,C566.1
GND,C566.2
3.3V_QSFP0,C567.1
GND,C567.2
3.3V,C568.1
GND,C568.2
3.3V_RTC_VOUT,C569.1
GND,C569.2
1.2V_DVDDL,C57.1
GND,C57.2
S_TAO_VCORE,C570.1
GND,C570.2
12V,C571.1
GND,C571.2
VCORE,C572.1
GND,C572.2
3.3V_VCC1_P0,C573.1
GND,C573.2
3.3V_VDD_RTC,C574.1
GND,C574.2
3.3V,C575.1
GND,C575.2
S_REG_VCORE_EN,C576.1
GND,C576.2
S_VINSEN_VCORE,C577.1
GND,C577.2
3.3V_VIN_CONT,C578.1
GND,C578.2
S_5V_EN,C579.1
GND,C579.2
1.8V,C58.1
GND,C58.2
12V,C580.1
GND,C580.2
VCORE,C581.1
GND,C581.2
1.2V,C582.1
GND,C582.2
3.3V_VCC_RX_P0,C583.1
GND,C583.2
3.3V_VCC_RX_P0,C584.1
GND,C584.2
3.3V,C585.1
GND,C585.2
S_VREF_CONT,C586.1
GND,C586.2
12V,C587.1
GND,C587.2
3.3V_GEN_CLK,C588.1
GND,C588.2
3.3V_GEN_R_CLK,C589.1
GND,C589.2
12V,C59.1
GND,C59.2
3.3V,C590.1
GND,C590.2
3.3V_PWR_USBPHY,C591.1
GND,C591.2
1.2V_PWR_USBPHY,C592.1
GND,C592.2
3.3V_SH,C593.1
GND,C593.2
S_FAN_TACH,C594.1
GND,C594.2
1.8V,C595.1
GND,C595.2
1.8V_VDDPLLPL,C596.1
GND_VSSPLLPL,C596.2
1.8V_VDDPLLPL,C597.1
GND_VSSPLLPL,C597.2
3.3V_VCC_TX_P0,C598.1
GND,C598.2
3.3V_VCC_TX_P0,C599.1
GND,C599.2
1.2V_DDR,C6.1
GND,C6.2
S_REG_1.8V_EN,C60.1
GND,C60.2
3.3V,C600.1
GND,C600.2
3.3V,C601.1
GND,C601.2
S_PGOOD_ADLY,C602.1
GND,C602.2
12V,C603.1
GND,C603.2
3.3V_GEN_CLK,C604.1
GND,C604.2
3.3V_GEN_CLK,C605.1
GND,C605.2
3.3V_GEN_CLK,C606.1
GND,C606.2
3.3V_SH,C607.1
GND,C607.2
S_HUB_RST_L,C608.1
GND,C608.2
3.3V,C609.1
GND,C609.2
S_RCLK_LVDS_N,C61.1
S_RCLK_N,C61.2
3.3V,C610.1
GND,C610.2
3.3V,C611.1
GND,C611.2
3.3V,C612.1
GND,C612.2
12V,C613.1
GND,C613.2
3.3V_VDDA,C614.1
GND,C614.2
3.3V_VDDA,C615.1
GND,C615.2
3.3V_GEN_CLK,C616.1
GND,C616.2
3.3V,C617.1
GND,C617.2
3.3V,C618.1
GND,C618.2
L_TERM_B30,C619.1
L_TERM_B30_C,C619.2
1.2V_DDR,C62.1
GND,C62.2
L_TERM_A33_C,C620.1
SE_SER_CAPTURE_CONN,C620.2
L_TERM_A32_C,C621.1
SE_SER_CLK_CONN,C621.2
PCIE_PERCLK0N,C622.1
S_CLK_GEN_DIFF0_N,C622.2
PCIE_PERCLK0N,C623.1
PCIE_REFCLK0_N,C623.2
PCIE_PERCLK0P,C624.1
S_CLK_GEN_DIFF0_P,C624.2
PCIE_PERCLK0P,C625.1
PCIE_REFCLK0_P,C625.2
12V,C626.1
GND,C626.2
PCIE_BF_CPU_15N_C,C627.1
PCIE_BF_CPU_15N,C627.2
PCIE_BF_CPU_15P_C,C628.1
PCIE_BF_CPU_15P,C628.2
PCIE_BF_CPU_14N_C,C629.1
PCIE_BF_CPU_14N,C629.2
1.2V_DDR,C63.1
GND,C63.2
PCIE_BF_CPU_14P_C,C630.1
PCIE_BF_CPU_14P,C630.2
PCIE_BF_CPU_13N_C,C631.1
PCIE_BF_CPU_13N,C631.2
PCIE_BF_CPU_13P_C,C632.1
PCIE_BF_CPU_13P,C632.2
PCIE_BF_CPU_12N_C,C633.1
PCIE_BF_CPU_12N,C633.2
PCIE_BF_CPU_12P_C,C634.1
PCIE_BF_CPU_12P,C634.2
PCIE_BF_CPU_11N_C,C635.1
PCIE_BF_CPU_11N,C635.2
PCIE_BF_CPU_11P_C,C636.1
PCIE_BF_CPU_11P,C636.2
PCIE_BF_CPU_10N_C,C637.1
PCIE_BF_CPU_10N,C637.2
PCIE_BF_CPU_10P_C,C638.1
PCIE_BF_CPU_10P,C638.2
PCIE_BF_CPU_09N_C,C639.1
PCIE_BF_CPU_09N,C639.2
1.2V_DDR,C64.1
GND,C64.2
PCIE_BF_CPU_09P_C,C640.1
PCIE_BF_CPU_09P,C640.2
PCIE_BF_CPU_08N_C,C641.1
PCIE_BF_CPU_08N,C641.2
PCIE_BF_CPU_08P_C,C642.1
PCIE_BF_CPU_08P,C642.2
PCIE_BF_CPU_07N_C,C643.1
PCIE_BF_CPU_07N,C643.2
PCIE_BF_CPU_07P_C,C644.1
PCIE_BF_CPU_07P,C644.2
PCIE_BF_CPU_06N_C,C645.1
PCIE_BF_CPU_06N,C645.2
PCIE_BF_CPU_06P_C,C646.1
PCIE_BF_CPU_06P,C646.2
PCIE_BF_CPU_05N_C,C647.1
PCIE_BF_CPU_05N,C647.2
PCIE_BF_CPU_05P_C,C648.1
PCIE_BF_CPU_05P,C648.2
PCIE_BF_CPU_04N_C,C649.1
PCIE_BF_CPU_04N,C649.2
1.2V_DDR,C65.1
GND,C65.2
PCIE_BF_CPU_04P_C,C650.1
PCIE_BF_CPU_04P,C650.2
PCIE_BF_CPU_03N_C,C651.1
PCIE_BF_CPU_03N,C651.2
PCIE_BF_CPU_03P_C,C652.1
PCIE_BF_CPU_03P,C652.2
PCIE_BF_CPU_02N_C,C653.1
PCIE_BF_CPU_02N,C653.2
PCIE_BF_CPU_02P_C,C654.1
PCIE_BF_CPU_02P,C654.2
PCIE_BF_CPU_01N_C,C655.1
PCIE_BF_CPU_01N,C655.2
PCIE_BF_CPU_01P_C,C656.1
PCIE_BF_CPU_01P,C656.2
PCIE_BF_CPU_00N_C,C657.1
PCIE_BF_CPU_00N,C657.2
